t_eval,Equation_1,Equation_2,Equation_3
0.0,3.2165926535897933,3.2165926535897933,3.2165926535897933
0.002002002002002002,3.2165518397381434,3.216551721932796,3.2165518397936292
0.004004004004004004,3.216429399911456,3.216428928950353,3.2164294001331557
0.006006006006006006,3.216225339406944,3.2162242805997225,3.2162253399050185
0.008008008008008008,3.2159396685762593,3.21593778672942,3.215939669462053
0.01001001001001001,3.2155723993276246,3.2155694613432124,3.2155724007102435
0.012012012012012012,3.215123546360521,3.2151193224454464,3.215123548345479
0.014014014014014014,3.214593128018078,3.2145873919742516,3.214593130707235
0.016016016016016016,3.2139811662870725,3.2139736958015406,3.213981169778572
0.018018018018018018,3.2132876867979294,3.2132782637330077,3.2132876911861374
0.02002002002002002,3.2125127188247213,3.212501129508129,3.2125127242001645
0.022022022022022022,3.2116562952851697,3.2116423308001645,3.2116563017344717
0.024024024024024024,3.210718452740642,3.210701909216154,3.2107184603464645
0.026026026026026026,3.2096992313961556,3.2096799102969222,3.2096992402371334
0.028028028028028028,3.208598675100374,3.208576383517075,3.208598685251056
0.03003003003003003,3.2074168313456104,3.2073913822849995,3.2074168428763956
0.03203203203203203,3.206153751267824,3.206124963942867,3.2061537642449007
0.03403403403403403,3.2048094896466237,3.20477718976663,3.204809504131906
0.036036036036036036,3.2033841049052647,3.2033481249660234,3.2033841209563336
0.03803803803803804,3.201877659110651,3.2018378386845647,3.2018776767806894
0.04004004004004004,3.2002902179733344,3.2002464039995537,3.200290237311067
0.04204204204204204,3.1986218508475144,3.198573897922072,3.1986218718971453
0.044044044044044044,3.196872630731038,3.1968204013969843,3.196872653532189
0.04604604604604605,3.1950426342654015,3.1949859993029364,3.1950426588530503
0.04804804804804805,3.1931319417357473,3.193070780452358,3.1931319681401646
0.050050050050050046,3.1911406370708666,3.1910748375914593,3.191140665317556
0.05205205205205205,3.189068807843199,3.1889982674002346,3.1890688379528327
0.05405405405405406,3.1869165452688306,3.186841170492459,3.18691657725719
0.056056056056056056,3.184683771097542,3.1846036163137117,3.1846838085103832
0.058058058058058054,3.1823701945657907,3.1822856630377294,3.1823702485523357
0.06006006006006006,3.1799759381366908,3.179887444048514,3.1799760188960176
0.062062062062062065,3.177501145615942,3.177409096696327,3.177501262086602
0.06406406406406406,3.1749459645578457,3.1748507608928946,3.1749461244653925
0.06606606606606606,3.172310546265308,3.1722125791114073,3.172310756169824
0.06806806806806806,3.169595045789837,3.1694946963865194,3.1695953111334636
0.07007007007007007,3.166799621931543,3.1666972603143493,3.166799947086008
0.07207207207207207,3.1639244372391397,3.163820421052479,3.163924825553286
0.07407407407407407,3.1609696580099436,3.1608643313199556,3.1609701118572575
0.07607607607607608,3.157935454289873,3.15782914639729,3.157935975116014
0.07807807807807808,3.1548219998734504,3.154715024126456,3.1548225882437766
0.08008008008008008,3.1516294723038,3.151522124910893,3.1516301279508996
0.08208208208208208,3.148358052872649,3.1482506117155045,3.1483587747438673
0.08408408408408408,3.1450079266203277,3.1449006500666563,3.1450087129252946
0.08608608608608609,3.141579282335769,3.1414724080521803,3.1415801305939293
0.08808808808808809,3.1380723125565084,3.137966056321371,3.138073219644649
0.09009009009009009,3.134487213568684,3.134381768084989,3.1344881757684635
0.0920920920920921,3.1308241854070373,3.130719719115256,3.130825198452512
0.0940940940940941,3.127083431854912,3.1269800877458604,3.127084490980067
0.0960960960960961,3.1232651604442547,3.1231630548719536,3.1232662604305306
0.0980980980980981,3.1193695824556147,3.119268803950151,3.119370717679437
0.10010010010010009,3.1153969129181442,3.115297520998532,3.1153980773984515
0.1021021021021021,3.1113473706095984,3.111249394596641,3.1113485580553695
0.1041041041041041,3.1072211780563346,3.1071246158854855,3.1072223819141196
0.1061061061061061,3.1030185615333132,3.1029233785675374,3.1030197750347592
0.10810810810810811,3.0987397510640977,3.098645878906733,3.0987409672734785
0.11011011011011011,3.0943849804208536,3.0942923157284725,3.094386192282599
0.11211211211211211,3.0899544871243507,3.0898628904196195,3.089955687510572
0.11411411411411411,3.0854485124439592,3.085357806928503,3.0854496942019805
0.11611611611611611,3.0808673013976535,3.0807772717649144,3.0808684573975396
0.11811811811811812,3.0762111027520116,3.076121494000111,3.076212225934095
0.12012012012012012,3.0714801690222124,3.071390685266813,3.071481252444623
0.12212212212212212,3.0666747564720382,3.066585059759205,3.0666757933582316
0.12412412412412413,3.061795125113875,3.0617048342329363,3.06179610890016
0.12612612612612611,3.0568415387087104,3.056750228005119,3.056842463091779
0.12812812812812813,3.0518142647661355,3.0517214629543297,3.0518151237505893
0.13013013013013014,3.0467135745443437,3.0466187635206103,3.0467143624902238
0.13213213213213212,3.0415397430501314,3.041442356705465,3.0415404547204465
0.13413413413413414,3.0362930490388975,3.0361924720718636,3.036293679647152
0.13613613613613612,3.030973775014644,3.030869341744239,3.030974320272367
0.13813813813813813,3.0255822072299754,3.0254732004084888,3.025582663394248
0.14014014014014015,3.020118635686099,3.0200042853119737,3.020118999607084
0.14214214214214213,3.014583354132825,3.0144628362635197,3.0145836233012946
0.14414414414414414,3.008976660068566,3.0088490956334164,3.0089768326634307
0.14614614614614616,3.0032988547403385,3.0031633083534173,3.0032989296761743
0.14814814814814814,2.9975502431437606,2.9974057219167403,2.997550220118338
0.15015015015015015,2.991731134023053,2.991576586378067,2.991731013564867
0.15215215215215216,2.985841839871039,2.985676154353543,2.985841623386837
0.15415415415415415,2.9798826769291473,2.979704681020779,2.9798823667514536
0.15615615615615616,2.9738539651874056,2.9736624241188485,2.9738535646220554
